location,NO2Level,TSGAS,JamFactor,TSJAM,lat,lon,ts 
KC4,29.7,2016-04-16 01:00:00,0.11594,2016-04-16T03:03:21.000+0000,51.48743685,-0.168397129,1460775810976 
KC4,46.4,2016-04-16 11:00:00,4.12896,2016-04-16T12:47:29.000+0000,51.48743685,-0.168397129,1460810911261 
KC5,69.6,2016-04-17 01:00:00,0,2016-04-17T02:47:32.000+0000,51.49019756,-0.190863311,1460861311741 
KC3,69.7,2016-04-13 21:00:00,0.01665,2016-04-17T02:47:32.000+0000,51.49913951,-0.164337605,1460861311741 
KC4,34.9,2016-04-16 05:00:00,0.55556,2016-04-16T06:17:24.000+0000,51.48743685,-0.168397129,1460787511027 
KC3,69.7,2016-04-13 21:00:00,0.24056,2016-04-17T05:17:32.000+0000,51.49913951,-0.164337605,1460870311850 
KC5,60.8,2016-04-17 04:00:00,0.50334,2016-04-17T05:17:32.000+0000,51.49019756,-0.190863311,1460870311850 
KC3,69.7,2016-04-13 21:00:00,0.55518,2016-04-17T07:02:33.000+0000,51.49913951,-0.164337605,1460876611910 
KC5,55.5,2016-04-17 05:00:00,0.45253,2016-04-17T07:02:33.000+0000,51.49019756,-0.190863311,1460876611910 
KC5,86.2,2016-04-17 08:00:00,4.6718,2016-04-17T09:47:33.000+0000,51.49019756,-0.190863311,1460886511995 
KC4,52,2016-04-16 18:00:00,6.37675,2016-04-16T19:17:32.000+0000,51.48743685,-0.168397129,1460834311473 
KC5,74.2,2016-04-16 19:00:00,3.20736,2016-04-16T20:17:32.000+0000,51.49019756,-0.190863311,1460837911522 
KC4,57.7,2016-04-17 08:00:00,4.75212,2016-04-17T10:02:33.000+0000,51.48743685,-0.168397129,1460887412003 
KC3,69.7,2016-04-13 21:00:00,5.40183,2016-04-16T11:47:29.000+0000,51.49913951,-0.164337605,1460807311206 
KC3,69.7,2016-04-13 21:00:00,1.81733,2016-04-16T22:32:32.000+0000,51.49913951,-0.164337605,1460846011588 
KC5,89.9,2016-04-16 21:00:00,4.6233,2016-04-16T22:32:32.000+0000,51.49019756,-0.190863311,1460846011588 
KC3,69.7,2016-04-13 21:00:00,0,2016-04-16T03:18:20.000+0000,51.49913951,-0.164337605,1460776710980 
KC4,22.8,2016-04-16 02:00:00,1.16365,2016-04-16T03:18:20.000+0000,51.48743685,-0.168397129,1460776710980 
KC5,86.2,2016-04-17 08:00:00,5.18728,2016-04-17T10:02:33.000+0000,51.49019756,-0.190863311,1460887412003 
